Theme,English,English meaning,Francais
"Management, stratégie et entrepreneuriat",take minutes,write the official record of a meeting,rédiger le compte rendu
"Management, stratégie et entrepreneuriat",take over,assume control of something,"prendre la relève, reprendre les rênes"
"Management, stratégie et entrepreneuriat",take risks,act despite possible loss,prendre des risques
"Management, stratégie et entrepreneuriat",take the floor,begin speaking to an assembly,prendre la parole
"Management, stratégie et entrepreneuriat",takeaway,key point worth remembering,"enseignement, point à retenir"
"Management, stratégie et entrepreneuriat",takeover,acquisition of control over a company,"prise de contrôle, rachat"
"Management, stratégie et entrepreneuriat",takeover bid,offer to buy control of a firm,offre publique d'achat
"Management, stratégie et entrepreneuriat",talent management,"attracting, developing and keeping capable people",gestion des talents
"Management, stratégie et entrepreneuriat",talent pool,group of available skilled candidates,vivier de talents
"Management, stratégie et entrepreneuriat",talking points,key arguments prepared for discussion,éléments de langage
"Management, stratégie et entrepreneuriat",target,result aimed at,"cible, objectif chiffré"
"Management, stratégie et entrepreneuriat",task,piece of work to be done,tâche
"Management, stratégie et entrepreneuriat",task force,group formed to tackle a specific issue,"cellule spéciale, groupe d'intervention"
"Management, stratégie et entrepreneuriat",team building,activities improving cooperation among colleagues,"cohésion d'équipe, team building"
"Management, stratégie et entrepreneuriat",team leader,person directing a small working group,chef d'équipe
"Management, stratégie et entrepreneuriat",team retreat,offsite gathering for a working group,séminaire d'équipe
"Management, stratégie et entrepreneuriat",team spirit,shared sense of loyalty among colleagues,esprit d'équipe
"Management, stratégie et entrepreneuriat",teamwork,cooperative effort by a group,travail d'équipe
"Management, stratégie et entrepreneuriat",tech hub,place concentrating technology companies,pôle technologique
"Management, stratégie et entrepreneuriat",temporary contract,employment agreement for a limited duration,contrat à durée déterminée
"Management, stratégie et entrepreneuriat",tenure,length of time holding a position,"mandat, durée en poste"
"Management, stratégie et entrepreneuriat",term of office,fixed period someone holds a post,durée du mandat
"Management, stratégie et entrepreneuriat",term sheet,non-binding outline of investment conditions,"term sheet, accord de principe"
"Management, stratégie et entrepreneuriat",testing phase,stage for checking that something works,phase de test
"Management, stratégie et entrepreneuriat",threat,external factor that could cause harm,menace
"Management, stratégie et entrepreneuriat",throughput,amount processed within a given time,"débit, capacité de traitement"
"Management, stratégie et entrepreneuriat",tight deadline,very little time available for completion,délai serré
"Management, stratégie et entrepreneuriat",time frame,period within which something happens,"délai, horizon temporel"
"Management, stratégie et entrepreneuriat",time to market,delay between conception and commercial launch,délai de mise sur le marché
"Management, stratégie et entrepreneuriat",timeline,sequence of events with dates,"calendrier, échéancier"
"Management, stratégie et entrepreneuriat",tipping point,moment when change becomes unstoppable,point de bascule
"Management, stratégie et entrepreneuriat",top management,most senior executives,"encadrement supérieur, sommet de la hiérarchie"
"Management, stratégie et entrepreneuriat",top-down approach,decisions made at senior level downwards,approche descendante
"Management, stratégie et entrepreneuriat",total quality management,company-wide commitment to continuous improvement,gestion de la qualité totale
"Management, stratégie et entrepreneuriat",touch base,make brief contact to exchange news,"faire un point rapide, reprendre contact"
"Management, stratégie et entrepreneuriat",track progress,monitor how work advances,suivre l'avancement
"Management, stratégie et entrepreneuriat",tracking,monitoring movement or advancement over time,suivi
"Management, stratégie et entrepreneuriat",traction,evidence that something is gaining acceptance,"traction, adhésion du marché"
"Management, stratégie et entrepreneuriat",trade sale,selling a company to another business,cession à un industriel
"Management, stratégie et entrepreneuriat",trade secret,confidential commercially valuable information,secret de fabrication
"Management, stratégie et entrepreneuriat",trade union,organization defending workers' interests,syndicat
"Management, stratégie et entrepreneuriat",trade-off,accepting less of one thing for another,"arbitrage, compromis"
"Management, stratégie et entrepreneuriat",training,teaching the skills needed for work,formation
"Management, stratégie et entrepreneuriat",transfer,move someone or something elsewhere,mutation
"Management, stratégie et entrepreneuriat",transformation,fundamental change in how something operates,transformation
"Management, stratégie et entrepreneuriat",transformational leadership,inspiring followers toward major change,leadership transformationnel
"Management, stratégie et entrepreneuriat",transparency,openness about actions and decisions,transparence
"Management, stratégie et entrepreneuriat",trend,general direction of change over time,tendance
"Management, stratégie et entrepreneuriat",trial and error,learning through repeated attempts,"tâtonnements, essais et erreurs"
"Management, stratégie et entrepreneuriat",trim,reduce by cutting away excess,"dégraisser, élaguer"
"Management, stratégie et entrepreneuriat",troubleshooting,finding and fixing faults,"résolution de problèmes, dépannage"
"Management, stratégie et entrepreneuriat",trust,confidence in someone's reliability,faire confiance à
"Management, stratégie et entrepreneuriat",trustworthy,deserving confidence and reliance,digne de confiance
"Management, stratégie et entrepreneuriat",turn around,restore a failing business to health,redresser
"Management, stratégie et entrepreneuriat",turnaround,recovery of a struggling business,"redressement, retournement"
"Management, stratégie et entrepreneuriat",turnaround time,period needed to complete a process,délai d'exécution
"Management, stratégie et entrepreneuriat",unanimous,agreed by everyone without dissent,unanime
"Management, stratégie et entrepreneuriat",unanimously,with everyone in complete agreement,à l'unanimité
"Management, stratégie et entrepreneuriat",uncertainty,lack of knowledge about future outcomes,incertitude
"Management, stratégie et entrepreneuriat",underlying assumption,unstated belief supporting a conclusion,hypothèse sous-jacente
"Management, stratégie et entrepreneuriat",underperform,do worse than expected,sous-performer
"Management, stratégie et entrepreneuriat",underperformance,results below the expected standard,"performance insuffisante, contre-performance"
"Management, stratégie et entrepreneuriat",understaffed,having too few workers,en sous-effectif
"Management, stratégie et entrepreneuriat",unicorn,private startup valued above one billion,licorne
"Management, stratégie et entrepreneuriat",union representative,elected spokesperson for organized workers,délégué syndical
"Management, stratégie et entrepreneuriat",untapped market,customer group not yet served,marché inexploité
"Management, stratégie et entrepreneuriat",upskilling,improving employees' existing abilities,montée en compétences
"Management, stratégie et entrepreneuriat",upward mobility,movement into higher-status positions,ascension professionnelle
"Management, stratégie et entrepreneuriat",user base,people who regularly use a product,base d'utilisateurs
"Management, stratégie et entrepreneuriat",user story,short description of a customer need,récit utilisateur
"Management, stratégie et entrepreneuriat",utilization rate,proportion of capacity actually used,taux d'utilisation
"Management, stratégie et entrepreneuriat",vacancy,unfilled job position,"poste à pourvoir, poste vacant"
"Management, stratégie et entrepreneuriat",validate,confirm something is correct or acceptable,"valider, éprouver"
"Management, stratégie et entrepreneuriat",validation,confirmation that something meets requirements,validation
"Management, stratégie et entrepreneuriat",valuation,estimate of what something is worth,valorisation
"Management, stratégie et entrepreneuriat",value chain,sequence of activities adding worth to output,chaîne de valeur
"Management, stratégie et entrepreneuriat",value creation,generating additional worth for stakeholders,création de valeur
"Management, stratégie et entrepreneuriat",value proposition,reason customers should choose your offer,proposition de valeur
"Management, stratégie et entrepreneuriat",venture,risky business undertaking,"aventure entrepreneuriale, entreprise"
"Management, stratégie et entrepreneuriat",venture capital,money invested in risky young firms,capital-risque
"Management, stratégie et entrepreneuriat",venture capitalist,investor funding high-risk young companies,capital-risqueur
"Management, stratégie et entrepreneuriat",vertical integration,controlling several stages of production,intégration verticale
"Management, stratégie et entrepreneuriat",vesting,gradual earning of rights to shares,acquisition progressive des parts
"Management, stratégie et entrepreneuriat",veto,power to block a decision,opposer son veto à
"Management, stratégie et entrepreneuriat",vice-chairman,deputy to the head of a board,vice-président
"Management, stratégie et entrepreneuriat",video conference,meeting held over a live visual link,visioconférence
"Management, stratégie et entrepreneuriat",vision statement,declaration of long-term aspirations,énoncé de vision
"Management, stratégie et entrepreneuriat",volatility,tendency to change sharply and unpredictably,"volatilité, instabilité"
"Management, stratégie et entrepreneuriat",vote,formal expression of choice,voter
"Management, stratégie et entrepreneuriat",walkout,sudden collective departure as protest,débrayage
"Management, stratégie et entrepreneuriat",waterfall model,sequential project method with fixed stages,modèle en cascade
"Management, stratégie et entrepreneuriat",weekly meeting,regular gathering held every seven days,"réunion hebdomadaire, point hebdo"
"Management, stratégie et entrepreneuriat",weigh the options,compare alternatives before deciding,peser le pour et le contre
"Management, stratégie et entrepreneuriat",well-being at work,employees' health and satisfaction on the job,bien-être au travail
"Management, stratégie et entrepreneuriat",whistleblower,person exposing wrongdoing inside an organization,lanceur d'alerte
"Management, stratégie et entrepreneuriat",whistleblowing,reporting misconduct within an organization,"alerte éthique, signalement"
"Management, stratégie et entrepreneuriat",within budget,not exceeding the allocated funds,dans les limites du budget
"Management, stratégie et entrepreneuriat",work breakdown structure,hierarchical division of a project into tasks,"organigramme des tâches, découpage du projet"
"Management, stratégie et entrepreneuriat",work in progress,unfinished output currently being produced,"travaux en cours, en-cours"
"Management, stratégie et entrepreneuriat",work-life balance,healthy division between job and personal time,équilibre entre vie professionnelle et vie privée
"Management, stratégie et entrepreneuriat",workaround,temporary method bypassing a problem,solution de contournement
"Management, stratégie et entrepreneuriat",workforce,all the people employed somewhere,"effectifs, main-d'œuvre"
"Management, stratégie et entrepreneuriat",workforce planning,forecasting future staffing needs,gestion prévisionnelle des effectifs
"Management, stratégie et entrepreneuriat",working group,small team studying a specific issue,groupe de travail
"Management, stratégie et entrepreneuriat",workload,quantity of tasks assigned to someone,charge de travail
"Management, stratégie et entrepreneuriat",workplace,location where people do their jobs,lieu de travail
"Management, stratégie et entrepreneuriat",works council,elected body representing employees to management,"comité social et économique, comité d'entreprise"
"Management, stratégie et entrepreneuriat",workshop,practical session for learning or problem-solving,atelier
"Management, stratégie et entrepreneuriat",workstream,distinct strand of activity within a project,"chantier, axe de travail"
"Management, stratégie et entrepreneuriat",worst-case scenario,most unfavourable possible outcome,scénario du pire
"Management, stratégie et entrepreneuriat",wrap up,bring to a conclusion,"conclure, boucler"
"Finance, banque, investissement et comptabilité",absorption costing,method assigning all production costs to units,méthode des coûts complets
"Finance, banque, investissement et comptabilité",account balance,amount of money currently held,solde du compte
"Finance, banque, investissement et comptabilité",account closure,ending of a banking relationship,clôture de compte
"Finance, banque, investissement et comptabilité",account holder,person in whose name funds are kept,titulaire du compte
"Finance, banque, investissement et comptabilité",account number,unique identifier for a banking record,numéro de compte
"Finance, banque, investissement et comptabilité",account opening,process of establishing a banking relationship,ouverture de compte
"Finance, banque, investissement et comptabilité",account statement,periodic record of transactions and balance,relevé de compte
"Finance, banque, investissement et comptabilité",accountant,professional preparing and checking financial records,comptable
"Finance, banque, investissement et comptabilité",accounting,recording and reporting of financial transactions,comptabilité
"Finance, banque, investissement et comptabilité",accounting period,span of time covered by financial reports,période comptable
"Finance, banque, investissement et comptabilité",accounting policies,principles chosen for preparing financial reports,méthodes comptables
"Finance, banque, investissement et comptabilité",accounting standards,rules governing preparation of financial reports,normes comptables
"Finance, banque, investissement et comptabilité",accounts payable,money owed to suppliers,dettes fournisseurs
"Finance, banque, investissement et comptabilité",accounts receivable,money owed by customers,créances clients
"Finance, banque, investissement et comptabilité",accredited investor,wealthy party allowed into restricted offerings,investisseur qualifié
"Finance, banque, investissement et comptabilité",accrual,expense or income recorded before payment,"charge à payer, régularisation"
"Finance, banque, investissement et comptabilité",accrual accounting,"recording transactions when earned, not when paid",comptabilité d'engagement
"Finance, banque, investissement et comptabilité",accrue,accumulate gradually before payment falls due,"courir, s'accumuler"
"Finance, banque, investissement et comptabilité",accrued expenses,costs incurred but not yet paid,charges à payer
"Finance, banque, investissement et comptabilité",accrued income,revenue earned but not yet received,produits à recevoir
"Finance, banque, investissement et comptabilité",accrued interest,borrowing charges built up but unpaid,intérêts courus
"Finance, banque, investissement et comptabilité",activist investor,shareholder pressing for changes in management,investisseur activiste
"Finance, banque, investissement et comptabilité",actuarial,relating to statistical calculation of insurance risk,actuariel
"Finance, banque, investissement et comptabilité",actuary,specialist calculating insurance and pension risk,actuaire
"Finance, banque, investissement et comptabilité",adverse opinion,auditor's judgment that accounts are misleading,opinion défavorable
"Finance, banque, investissement et comptabilité",after-hours trading,dealing outside official market times,négociation hors séance
"Finance, banque, investissement et comptabilité",after-tax profit,earnings remaining once levies are deducted,résultat après impôt
"Finance, banque, investissement et comptabilité",aging schedule,report grouping unpaid invoices by age,balance âgée
"Finance, banque, investissement et comptabilité",algorithmic trading,automated dealing driven by computer rules,trading algorithmique
"Finance, banque, investissement et comptabilité",allotment,assignment of newly issued shares to applicants,"attribution, allocation de titres"
"Finance, banque, investissement et comptabilité",amortization,gradual writing off of an intangible asset or loan,amortissement
"Finance, banque, investissement et comptabilité",amortization schedule,table showing repayments over a loan's life,tableau d'amortissement
"Finance, banque, investissement et comptabilité",amortize,write off gradually over time,amortir
"Finance, banque, investissement et comptabilité",analytical procedures,audit checks comparing figures for plausibility,procédures analytiques
"Finance, banque, investissement et comptabilité",annual percentage rate,yearly cost of borrowing including charges,taux annuel effectif global
"Finance, banque, investissement et comptabilité",annualized,expressed as an equivalent yearly figure,annualisé
"Finance, banque, investissement et comptabilité",annuity,fixed sum paid at regular intervals,rente
"Finance, banque, investissement et comptabilité",anti-money laundering,measures preventing disguise of criminal funds,lutte anti-blanchiment
"Finance, banque, investissement et comptabilité",arbitrage,profiting from price differences between markets,arbitrage
"Finance, banque, investissement et comptabilité",arbitrageur,trader exploiting price gaps between markets,arbitragiste
"Finance, banque, investissement et comptabilité",arrears,overdue payments still outstanding,arriérés
"Finance, banque, investissement et comptabilité",ask price,amount a seller demands,cours vendeur
"Finance, banque, investissement et comptabilité",asset,resource of economic value owned,actif
"Finance, banque, investissement et comptabilité",asset allocation,dividing investments among different categories,allocation d'actifs
"Finance, banque, investissement et comptabilité",asset class,group of investments with similar characteristics,classe d'actifs
"Finance, banque, investissement et comptabilité",asset freezing,blocking access to someone's property,gel des avoirs
"Finance, banque, investissement et comptabilité",asset management,professional handling of investments for clients,gestion d'actifs
"Finance, banque, investissement et comptabilité",asset manager,firm investing money on behalf of clients,gestionnaire d'actifs
"Finance, banque, investissement et comptabilité",asset turnover,sales generated per unit of resources employed,rotation de l'actif
"Finance, banque, investissement et comptabilité",asset-backed security,bond repaid from a pool of loans,titre adossé à des actifs
"Finance, banque, investissement et comptabilité",asset-liability management,balancing what is owned against what is owed,gestion actif-passif
"Finance, banque, investissement et comptabilité",ATM,machine dispensing cash automatically,distributeur automatique de billets
"Finance, banque, investissement et comptabilité",audit,independent examination of financial records,"audit, vérification des comptes"
"Finance, banque, investissement et comptabilité",audit evidence,information supporting an examiner's conclusions,éléments probants
"Finance, banque, investissement et comptabilité",audit fees,charges paid for independent examination,honoraires d'audit
"Finance, banque, investissement et comptabilité",audit opinion,examiner's formal conclusion on the accounts,opinion d'audit
"Finance, banque, investissement et comptabilité",audit report,document presenting an examiner's findings,rapport d'audit
"Finance, banque, investissement et comptabilité",audit scope,extent of the work an examiner performs,étendue de l'audit
"Finance, banque, investissement et comptabilité",audit trail,record allowing transactions to be traced,piste d'audit
"Finance, banque, investissement et comptabilité",auditor,independent professional examining financial records,"auditeur, commissaire aux comptes"
"Finance, banque, investissement et comptabilité",back office,administrative and support functions of a firm,"post-marché, back office"
"Finance, banque, investissement et comptabilité",back taxes,unpaid levies owed from earlier periods,"rappel d'impôt, arriérés d'impôts"
"Finance, banque, investissement et comptabilité",backtesting,checking a strategy against historical data,"contrôle a posteriori, backtesting"
"Finance, banque, investissement et comptabilité",bad debt,money owed that cannot be recovered,"créance irrécouvrable, créance douteuse"
"Finance, banque, investissement et comptabilité",bail-in,rescuing a bank by imposing losses on creditors,renflouement interne
"Finance, banque, investissement et comptabilité",bail-out,rescue of a failing institution with outside funds,"renflouement, sauvetage financier"
"Finance, banque, investissement et comptabilité",balance sheet,"statement of assets, liabilities and equity",bilan
"Finance, banque, investissement et comptabilité",balloon payment,large final instalment on a loan,remboursement final majoré
"Finance, banque, investissement et comptabilité",bank charges,fees levied for financial services,frais bancaires
"Finance, banque, investissement et comptabilité",bank draft,payment order guaranteed by a financial institution,chèque de banque
"Finance, banque, investissement et comptabilité",bank guarantee,promise to cover a customer's obligation,garantie bancaire
"Finance, banque, investissement et comptabilité",bank levy,tax imposed on financial institutions,taxe bancaire
"Finance, banque, investissement et comptabilité",bank reconciliation,matching internal records against statements,rapprochement bancaire
"Finance, banque, investissement et comptabilité",bank resolution,orderly handling of a failing financial institution,résolution bancaire
"Finance, banque, investissement et comptabilité",bank run,mass withdrawal by panicked depositors,"panique bancaire, ruée aux guichets"
"Finance, banque, investissement et comptabilité",bank statement,periodic list of account transactions,relevé bancaire
"Finance, banque, investissement et comptabilité",banking license,official permission to operate as a bank,agrément bancaire
"Finance, banque, investissement et comptabilité",banking secrecy,legal duty to keep client information private,secret bancaire
"Finance, banque, investissement et comptabilité",banking supervision,official oversight of financial institutions,supervision bancaire
"Finance, banque, investissement et comptabilité",banknote,piece of paper currency,billet de banque
"Finance, banque, investissement et comptabilité",bankruptcy,legal state of being unable to pay debts,faillite
"Finance, banque, investissement et comptabilité",base rate,benchmark interest level set by a central bank,taux de base
"Finance, banque, investissement et comptabilité",basis point,one hundredth of a percentage point,point de base
"Finance, banque, investissement et comptabilité",bear market,period of sustained falling prices,marché baissier
"Finance, banque, investissement et comptabilité",bearer bond,debt security owned by whoever holds it,obligation au porteur
"Finance, banque, investissement et comptabilité",bearer check,payment order cashable by any holder,chèque au porteur
"Finance, banque, investissement et comptabilité",bearer share,ownership certificate belonging to its holder,action au porteur
"Finance, banque, investissement et comptabilité",bearish,expecting prices to fall,baissier
"Finance, banque, investissement et comptabilité",benchmark rate,reference interest level used for pricing,taux de référence
"Finance, banque, investissement et comptabilité",beneficial owner,person truly enjoying the ownership rights,bénéficiaire effectif
"Finance, banque, investissement et comptabilité",beneficiary,person receiving money or benefits,bénéficiaire
"Finance, banque, investissement et comptabilité",bequest,property left to someone in a will,legs
"Finance, banque, investissement et comptabilité",bid price,amount a buyer offers,cours acheteur
"Finance, banque, investissement et comptabilité",bid-ask spread,gap between buying and selling quotes,fourchette de cotation
"Finance, banque, investissement et comptabilité",bill of exchange,written order to pay a specified sum,lettre de change
"Finance, banque, investissement et comptabilité",blockchain,distributed ledger recording transactions securely,"chaîne de blocs, blockchain"
"Finance, banque, investissement et comptabilité",blue chip,"share in a large, reliable company","valeur vedette, valeur sûre"
"Finance, banque, investissement et comptabilité",bond,tradable debt security paying interest,obligation
"Finance, banque, investissement et comptabilité",bond issue,release of new debt securities,émission obligataire
"Finance, banque, investissement et comptabilité",bond market,arena for trading debt securities,marché obligataire
"Finance, banque, investissement et comptabilité",bond rating,grade assessing a borrower's reliability,notation obligataire
"Finance, banque, investissement et comptabilité",bond yield,return earned on a debt security,rendement obligataire
"Finance, banque, investissement et comptabilité",bondholder,investor owning debt securities,"obligataire, porteur d'obligations"
"Finance, banque, investissement et comptabilité",bonus share,free extra stock given to existing owners,action gratuite
"Finance, banque, investissement et comptabilité",book value,worth recorded in the accounting records,valeur comptable
"Finance, banque, investissement et comptabilité",bookbuilding,gathering investor demand to price an offering,construction du livre d'ordres
"Finance, banque, investissement et comptabilité",bookkeeper,person recording daily financial transactions,aide-comptable
"Finance, banque, investissement et comptabilité",bookkeeping,systematic recording of financial transactions,tenue de la comptabilité
"Finance, banque, investissement et comptabilité",borrower,party receiving money to repay later,emprunteur
"Finance, banque, investissement et comptabilité",borrowing capacity,maximum amount one can responsibly owe,capacité d'emprunt
"Finance, banque, investissement et comptabilité",bottom line,final profit figure after all costs,résultat net final
"Finance, banque, investissement et comptabilité",bounced check,payment order refused for lack of funds,chèque sans provision
"Finance, banque, investissement et comptabilité",branch network,collection of a bank's local offices,réseau d'agences
"Finance, banque, investissement et comptabilité",bridge loan,short-term financing until permanent funds arrive,prêt relais
"Finance, banque, investissement et comptabilité",broker,intermediary arranging deals for clients,courtier
"Finance, banque, investissement et comptabilité",brokerage,firm arranging trades for investors,"courtage, société de courtage"
"Finance, banque, investissement et comptabilité",brokerage fees,charges for arranging trades,frais de courtage
"Finance, banque, investissement et comptabilité",budgeting,planning how money will be spent,budgétisation
"Finance, banque, investissement et comptabilité",building society,mutual institution providing home loans,société de crédit immobilier
"Finance, banque, investissement et comptabilité",bull market,period of sustained rising prices,marché haussier
"Finance, banque, investissement et comptabilité",bullet repayment,single settlement of principal at maturity,remboursement in fine
"Finance, banque, investissement et comptabilité",bullion,precious metal in bulk form,"lingots, or en barre"
"Finance, banque, investissement et comptabilité",bullish,expecting prices to rise,haussier
"Finance, banque, investissement et comptabilité",call option,right to buy at a set price,option d'achat
"Finance, banque, investissement et comptabilité",callable bond,debt security the issuer may repay early,obligation remboursable par anticipation
"Finance, banque, investissement et comptabilité",capital adequacy,holding enough reserves to absorb losses,adéquation des fonds propres
"Finance, banque, investissement et comptabilité",capital buffer,extra reserves held against future losses,coussin de fonds propres
"Finance, banque, investissement et comptabilité",capital expenditure,spending on long-term physical assets,dépenses d'investissement
"Finance, banque, investissement et comptabilité",capital flight,rapid movement of money out of a country,fuite des capitaux
"Finance, banque, investissement et comptabilité",capital gain,profit made from selling an asset,plus-value
"Finance, banque, investissement et comptabilité",capital gains tax,levy on profits from selling assets,impôt sur les plus-values
"Finance, banque, investissement et comptabilité",capital increase,raising more funds by issuing shares,augmentation de capital
"Finance, banque, investissement et comptabilité",capital inflows,money entering a country for investment,entrées de capitaux
"Finance, banque, investissement et comptabilité",capital injection,fresh funds put into a business,injection de capitaux
"Finance, banque, investissement et comptabilité",capital loss,shortfall when an asset sells below cost,moins-value
"Finance, banque, investissement et comptabilité",capital markets,venues for trading long-term securities,marchés de capitaux
"Finance, banque, investissement et comptabilité",capital outflows,money leaving a country for investment abroad,sorties de capitaux
"Finance, banque, investissement et comptabilité",capital preservation,protecting invested funds from loss,préservation du capital
"Finance, banque, investissement et comptabilité",capital reduction,lowering a company's share funding,réduction de capital
"Finance, banque, investissement et comptabilité",capital requirement,minimum reserves that regulators demand,exigence de fonds propres
"Finance, banque, investissement et comptabilité",capital structure,mix of debt and equity funding,structure du capital
"Finance, banque, investissement et comptabilité",capitalization,total market worth of a company's shares,capitalisation
"Finance, banque, investissement et comptabilité",capitalize,record spending as an asset rather than expense,"immobiliser, inscrire à l'actif"
"Finance, banque, investissement et comptabilité",carbon credit,tradable permit to emit greenhouse gases,crédit carbone
"Finance, banque, investissement et comptabilité",card issuer,institution providing payment cards,émetteur de carte
"Finance, banque, investissement et comptabilité",cardholder,person authorized to use a payment card,titulaire de carte
"Finance, banque, investissement et comptabilité",carry trade,borrowing cheaply to invest at higher returns,opération de portage
"Finance, banque, investissement et comptabilité",carrying amount,value at which an asset is recorded,valeur nette comptable
"Finance, banque, investissement et comptabilité",carve-out,partial sale of a business unit,"cession partielle, détourage"
"Finance, banque, investissement et comptabilité",cash accounting,recording transactions only when money moves,comptabilité de trésorerie
"Finance, banque, investissement et comptabilité",cash discount,price reduction for prompt payment,escompte de règlement
"Finance, banque, investissement et comptabilité",cash equivalent,highly liquid short-term investment,équivalent de trésorerie
"Finance, banque, investissement et comptabilité",cash flow,movement of money into and out,flux de trésorerie
"Finance, banque, investissement et comptabilité",cash flow statement,report showing money received and spent,tableau des flux de trésorerie
"Finance, banque, investissement et comptabilité",cash forecast,projection of future money movements,prévision de trésorerie
"Finance, banque, investissement et comptabilité",cash management,controlling incoming and outgoing funds,gestion de trésorerie
"Finance, banque, investissement et comptabilité",cash on hand,money immediately available,encaisse
"Finance, banque, investissement et comptabilité",cash pooling,combining group balances for greater efficiency,centralisation de trésorerie
"Finance, banque, investissement et comptabilité",cash position,amount of liquid funds currently held,situation de trésorerie
"Finance, banque, investissement et comptabilité",cash ratio,liquid funds compared with short-term obligations,ratio de trésorerie immédiate
"Finance, banque, investissement et comptabilité",cash runway,time before available money is exhausted,autonomie de trésorerie
"Finance, banque, investissement et comptabilité",cash withdrawal,taking money out of an account,retrait d'espèces
"Finance, banque, investissement et comptabilité",central counterparty,body standing between both sides of trades,contrepartie centrale
"Finance, banque, investissement et comptabilité",certificate of deposit,fixed-term savings instrument paying interest,certificat de dépôt
"Finance, banque, investissement et comptabilité",chargeback,reversal of a card payment to the buyer,rétrofacturation
"Finance, banque, investissement et comptabilité",chart of accounts,structured list of a firm's ledger categories,plan comptable
"Finance, banque, investissement et comptabilité",chartered accountant,qualified member of a professional accounting body,expert-comptable
"Finance, banque, investissement et comptabilité",chartist,analyst predicting prices from graphs,"chartiste, analyste graphique"
"Finance, banque, investissement et comptabilité",checkbook,bound set of payment order forms,chéquier
"Finance, banque, investissement et comptabilité",circuit breaker,automatic halt to trading during sharp moves,coupe-circuit
"Finance, banque, investissement et comptabilité",claim,formal demand for money owed,créance
"Finance, banque, investissement et comptabilité",clearing,process of settling trades between parties,compensation
"Finance, banque, investissement et comptabilité",clearing house,body settling and guaranteeing market trades,chambre de compensation
"Finance, banque, investissement et comptabilité",closed-end fund,investment vehicle with a fixed share count,fonds fermé
"Finance, banque, investissement et comptabilité",closing entries,final adjustments made at period end,écritures de clôture
"Finance, banque, investissement et comptabilité",closing price,last quoted level of a trading session,cours de clôture
"Finance, banque, investissement et comptabilité",collateral,assets pledged to secure a loan,"garantie, sûreté, collatéral"
"Finance, banque, investissement et comptabilité",collection agency,firm hired to recover overdue payments,société de recouvrement
"Finance, banque, investissement et comptabilité",commercial paper,short-term unsecured corporate borrowing,"billet de trésorerie, papier commercial"
"Finance, banque, investissement et comptabilité",commitment,binding promise to provide or do something,engagement
"Finance, banque, investissement et comptabilité",commodities,raw materials traded on markets,matières premières
"Finance, banque, investissement et comptabilité",compliance officer,staff member ensuring rules are followed,responsable de la conformité
"Finance, banque, investissement et comptabilité",compound interest,earnings calculated on principal plus prior earnings,intérêts composés
"Finance, banque, investissement et comptabilité",compounding,reinvesting returns so growth accelerates,capitalisation des intérêts
"Finance, banque, investissement et comptabilité",concentration risk,danger from exposure to too few counterparties,risque de concentration
"Finance, banque, investissement et comptabilité",consensus estimate,average forecast of market analysts,consensus des analystes
"Finance, banque, investissement et comptabilité",consolidated accounts,combined statements for a group of companies,comptes consolidés
"Finance, banque, investissement et comptabilité",consumer credit,lending to individuals for personal spending,crédit à la consommation
"Finance, banque, investissement et comptabilité",contactless payment,card transaction completed without PIN or contact,paiement sans contact
"Finance, banque, investissement et comptabilité",contagion,spread of financial trouble between markets,contagion
"Finance, banque, investissement et comptabilité",contingent liability,possible obligation depending on future events,passif éventuel
"Finance, banque, investissement et comptabilité",contrarian,investor deliberately going against prevailing opinion,investisseur à contre-courant
"Finance, banque, investissement et comptabilité",controlling stake,shareholding large enough to direct a company,participation majoritaire
"Finance, banque, investissement et comptabilité",convertible bond,debt security exchangeable for shares,obligation convertible
"Finance, banque, investissement et comptabilité",convexity,measure of how bond sensitivity itself changes,convexité
"Finance, banque, investissement et comptabilité",cooking the books,falsifying accounting records,maquillage des comptes
"Finance, banque, investissement et comptabilité",cooperative bank,financial institution owned by its members,banque coopérative
"Finance, banque, investissement et comptabilité",corporate banking,financial services provided to companies,banque d'entreprise
"Finance, banque, investissement et comptabilité",corporate bond,debt security issued by a company,obligation d'entreprise
"Finance, banque, investissement et comptabilité",corporate tax,levy on company profits,impôt sur les sociétés
"Finance, banque, investissement et comptabilité",correspondent bank,institution providing services for a foreign bank,banque correspondante
"Finance, banque, investissement et comptabilité",cost accounting,tracking expenses to determine product costs,comptabilité analytique
"Finance, banque, investissement et comptabilité",cost center,unit incurring expenses but generating no revenue,centre de coûts
"Finance, banque, investissement et comptabilité",cost of capital,required return on funds used,coût du capital
"Finance, banque, investissement et comptabilité",cost of funds,what an institution pays to borrow,coût des ressources
"Finance, banque, investissement et comptabilité",cost of sales,direct expenses of goods sold,coût des ventes
"Finance, banque, investissement et comptabilité",cost-to-income ratio,operating expenses measured against revenue,coefficient d'exploitation
"Finance, banque, investissement et comptabilité",counter,service desk where customers are served,guichet
"Finance, banque, investissement et comptabilité",countercyclical buffer,extra reserves built up in good times,coussin contracyclique
"Finance, banque, investissement et comptabilité",counterfeit money,forged currency made to deceive,fausse monnaie
"Finance, banque, investissement et comptabilité",counterparty,other side of a financial contract,contrepartie
"Finance, banque, investissement et comptabilité",counterparty risk,danger the other side fails to perform,risque de contrepartie
